category,product data
food & groceries,almond flour pizza crust 1 $9.54 food - frozen foods 92
pets,pet carrier backpack 2 $3.82 pets 56
food & groceries,honey 3 $0.67 food - condiments 35
tech & gadgets,smartphone photography tripod 4 $9.48 electronics 39
food & groceries,sun-dried tomatoes 5 $0.30 food - vegetables 55
food & groceries,teriyaki chicken stir-fry 6 $3.75 food - frozen foods 91
fitness,yoga strap 7 $8.67 fitness 40
food & groceries,carrot sticks 8 $8.78 food - produce 87
clothing & accessories,floral wrap top 9 $2.74 clothing - tops 59
food & groceries,chocolate chip cliff bars 10 $2.47 food - snacks 34
clothing & accessories,tailored dress pants 11 $4.21 clothing - bottoms 39
others,diy candle making kit 12 $9.55 crafts 64
others,desk organizer set 13 $8.03 office 35
others,handheld vacuum 14 $1.24 home appliances 31
food & groceries,organic fruit salad 15 $3.92 food - produce 22
food & groceries,craft beer mustard 16 $4.18 food - condiments 50
tech & gadgets,smartphone gimbal 17 $6.34 electronics 72
food & groceries,spicy kimchi 18 $6.88 food - condiments 49
others,electric toothbrush 19 $9.22 health 89
clothing & accessories,slim fit chinos 20 $3.72 clothing - pants 61
food & groceries,tahini 21 $9.11 food - condiments 9
food & groceries,whole grain hamburger buns 22 $7.38 food - bakery 26
others,inspirational wall art 23 $9.67 home 62
food & groceries,organic coconut flour 24 $8.67 food - baking 62
food & groceries,chocolate coconut protein balls 25 $3.26 food - snacks 15
food & groceries,diced tomatoes (canned) 26 $9.80 food - canned goods 60
food & groceries,caramelized onion dip 27 $4.22 food - dairy 9
food & groceries,almond flour biscuits 28 $1.29 food - bakery 72
food & groceries,canned sardines 29 $0.52 food - seafood 37
food & groceries,apricot jam 30 $5.09 food - condiments 71
