Category,Product Data
Food & Groceries,almond flour pizza crust 1 $9.54 food - frozen foods 92
Pets,pet carrier backpack 2 $3.82 pets 56
Food & Groceries,honey 3 $0.67 food - condiments 35
Tech & Gadgets,smartphone photography tripod 4 $9.48 electronics 39
Food & Groceries,sun-dried tomatoes 5 $0.30 food - vegetables 55
Food & Groceries,teriyaki chicken stir-fry 6 $3.75 food - frozen foods 91
Fitness,yoga strap 7 $8.67 fitness 40
Food & Groceries,carrot sticks 8 $8.78 food - produce 87
Clothing & Accessories,floral wrap top 9 $2.74 clothing - tops 59
Food & Groceries,chocolate chip cliff bars 10 $2.47 food - snacks 34
Clothing & Accessories,tailored dress pants 11 $4.21 clothing - bottoms 39
Others,diy candle making kit 12 $9.55 crafts 64
Others,desk organizer set 13 $8.03 office 35
Others,handheld vacuum 14 $1.24 home appliances 31
Food & Groceries,organic fruit salad 15 $3.92 food - produce 22
Food & Groceries,craft beer mustard 16 $4.18 food - condiments 50
Tech & Gadgets,smartphone gimbal 17 $6.34 electronics 72
Food & Groceries,spicy kimchi 18 $6.88 food - condiments 49
Others,electric toothbrush 19 $9.22 health 89
Clothing & Accessories,slim fit chinos 20 $3.72 clothing - pants 61
Food & Groceries,tahini 21 $9.11 food - condiments 9
Food & Groceries,whole grain hamburger buns 22 $7.38 food - bakery 26
Others,inspirational wall art 23 $9.67 home 62
Food & Groceries,organic coconut flour 24 $8.67 food - baking 62
Food & Groceries,chocolate coconut protein balls 25 $3.26 food - snacks 15
Food & Groceries,diced tomatoes (canned) 26 $9.80 food - canned goods 60
Food & Groceries,caramelized onion dip 27 $4.22 food - dairy 9
Food & Groceries,almond flour biscuits 28 $1.29 food - bakery 72
Food & Groceries,canned sardines 29 $0.52 food - seafood 37
Food & Groceries,apricot jam 30 $5.09 food - condiments 71
